127.0.0.1 - - [14/Sep/2015:12:33:49 +0300] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [14/Sep/2015:12:34:18 +0300] "GET /touroperator/ HTTP/1.1" 200 2890
127.0.0.1 - - [14/Sep/2015:12:34:18 +0300] "GET /touroperator/css/main.css;jsessionid=10E27FCA38257C1516891F47F8ED7E56 HTTP/1.1" 200 4182
127.0.0.1 - - [14/Sep/2015:12:34:18 +0300] "GET /touroperator/img/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:34:18 +0300] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [14/Sep/2015:12:51:01 +0300] "GET /touroperator/ HTTP/1.1" 200 2846
127.0.0.1 - - [14/Sep/2015:12:51:01 +0300] "GET /touroperator/css/main.css HTTP/1.1" 200 4238
127.0.0.1 - - [14/Sep/2015:12:51:01 +0300] "GET /touroperator/img/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:51:01 +0300] "GET /touroperator/img/login.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:51:01 +0300] "GET /touroperator/img/lock.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:51:45 +0300] "GET /touroperator/ HTTP/1.1" 200 2846
127.0.0.1 - - [14/Sep/2015:12:51:45 +0300] "GET /touroperator/css/main.css HTTP/1.1" 200 4234
127.0.0.1 - - [14/Sep/2015:12:51:45 +0300] "GET /touroperator/img/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:51:45 +0300] "GET /touroperator/img/lock.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:51:45 +0300] "GET /touroperator/img/login.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:52:03 +0300] "GET /touroperator/ HTTP/1.1" 200 2846
127.0.0.1 - - [14/Sep/2015:12:52:03 +0300] "GET /touroperator/css/main.css HTTP/1.1" 200 4177
127.0.0.1 - - [14/Sep/2015:12:52:03 +0300] "GET /touroperator/img/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:52:03 +0300] "GET /touroperator/img/login.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:52:03 +0300] "GET /touroperator/img/lock.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:52:17 +0300] "GET /touroperator/ HTTP/1.1" 200 2846
127.0.0.1 - - [14/Sep/2015:12:52:17 +0300] "GET /touroperator/css/main.css HTTP/1.1" 200 4177
127.0.0.1 - - [14/Sep/2015:12:52:17 +0300] "GET /touroperator/img/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:52:17 +0300] "GET /touroperator/img/login.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:52:17 +0300] "GET /touroperator/img/lock.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:53:11 +0300] "GET /touroperator/ HTTP/1.1" 200 2846
127.0.0.1 - - [14/Sep/2015:12:53:11 +0300] "GET /touroperator/css/main.css HTTP/1.1" 200 4226
127.0.0.1 - - [14/Sep/2015:12:53:11 +0300] "GET /touroperator/img/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:53:11 +0300] "GET /touroperator/img/lock.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:53:11 +0300] "GET /touroperator/img/login.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:54:11 +0300] "GET /touroperator/ HTTP/1.1" 200 2846
127.0.0.1 - - [14/Sep/2015:12:54:11 +0300] "GET /touroperator/css/main.css HTTP/1.1" 200 4275
127.0.0.1 - - [14/Sep/2015:12:54:11 +0300] "GET /touroperator/img/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:54:11 +0300] "GET /touroperator/img/login.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:54:11 +0300] "GET /touroperator/img/lock.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:54:35 +0300] "GET /touroperator/ HTTP/1.1" 200 2846
127.0.0.1 - - [14/Sep/2015:12:54:36 +0300] "GET /touroperator/css/main.css HTTP/1.1" 200 4252
127.0.0.1 - - [14/Sep/2015:12:54:36 +0300] "GET /touroperator/img/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:54:36 +0300] "GET /touroperator/img/lock.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:54:36 +0300] "GET /touroperator/img/login.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:55:22 +0300] "GET /touroperator/ HTTP/1.1" 200 2846
127.0.0.1 - - [14/Sep/2015:12:55:22 +0300] "GET /touroperator/css/main.css HTTP/1.1" 200 4232
127.0.0.1 - - [14/Sep/2015:12:55:22 +0300] "GET /touroperator/img/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:55:22 +0300] "GET /touroperator/img/lock.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:55:22 +0300] "GET /touroperator/img/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:55:50 +0300] "GET /touroperator/ HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:55:50 +0300] "GET /touroperator/css/main.css;jsessionid=CD9806214EFF216F35D90AF23C4397F9 HTTP/1.1" 200 4232
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:55:50 +0300] "GET /touroperator/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:55:50 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:56:21 +0300] "GET /touroperator/css/main.css;jsessionid=CD9806214EFF216F35D90AF23C4397F9 HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:56:51 +0300] "GET /touroperator/ HTTP/1.1" 200 2846
127.0.0.1 - - [14/Sep/2015:12:56:51 +0300] "GET /touroperator/img/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:56:51 +0300] "GET /touroperator/css/main.css HTTP/1.1" 200 4232
127.0.0.1 - - [14/Sep/2015:12:56:51 +0300] "GET /touroperator/img/lock.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Sep/2015:12:56:51 +0300] "GET /touroperator/img/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:58:49 +0300] "GET /touroperator/ HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:58:49 +0300] "GET /touroperator/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:58:49 +0300] "GET /touroperator/css/main.css HTTP/1.1" 200 4039
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:58:50 +0300] "GET /touroperator/img/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:58:50 +0300] "GET /touroperator/img/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:59:12 +0300] "GET /touroperator/Controller?command=change_locale&language=english HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:59:12 +0300] "GET /touroperator/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:59:42 +0300] "GET /touroperator/Controller?command=login_page HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:59:42 +0300] "GET /touroperator/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2015:12:59:45 +0300] "GET /touroperator/Controller?command=change_locale&language=russian HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [14/Sep/2015:13:12:14 +0300] "GET /touroperator/Controller?command=change_locale&language=russian HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [14/Sep/2015:13:12:14 +0300] "GET /touroperator/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2015:13:12:14 +0300] "GET /touroperator/css/main.css HTTP/1.1" 200 3971
0:0:0:0:0:0:0:1 - - [14/Sep/2015:13:12:14 +0300] "GET /touroperator/img/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2015:13:12:14 +0300] "GET /touroperator/img/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2015:13:12:35 +0300] "GET /touroperator/Controller?command=change_locale&language=russian HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [14/Sep/2015:13:12:35 +0300] "GET /touroperator/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2015:13:12:35 +0300] "GET /touroperator/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2015:13:12:35 +0300] "GET /touroperator/img/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2015:13:12:35 +0300] "GET /touroperator/img/lock.png HTTP/1.1" 304 -
